code,first_name,second_name,web_name,fbref
1243,Robert,Green,Green,a350680b
1616,Alexander,Manninger,Manninger,eb55b1bc
1632,Gareth,Barry,Barry,7dbbe367
1718,John,Terry,Terry,68517cfd
1801,Paul,Robinson,Robinson,3515ba56
1822,Shay,Given,Given,0db918ff
2404,Michael,Carrick,Carrick,ab7263c1
2513,Jamie,Murphy,Murphy,6c96b263
3201,Stuart,Taylor,Taylor,30871c08
3736,John,O'Shea,O'Shea,7c1f4685
3773,Peter,Crouch,Crouch,73d9bdc7
5288,Gerhard,Tremmel,Tremmel,4370cecc
5589,Dean,Whitehead,Whitehead,a32204c9
6744,Lee,Grant,Grant,9dab6e3b
7525,Steven,Pienaar,Pienaar,8056f6e6
7551,Joleon,Lescott,Lescott,62393d3b
7638,Mark,Hudson,Hudson,e4e3de44
7645,Phil,Jagielka,Jagielka,3233eefd
7906,Damien,Delaney,Delaney,210d9ecb
7958,Jermain,Defoe,Defoe,f1e8372d
8380,James,Collins,Collins,c61f1719
8432,José,Reina,Reina,e358587b
9047,Glen,Johnson,Johnson,8cceca90
9089,Ben,Foster,Foster,d0b3ceb9
9110,Shaun,Maloney,Maloney,0558e236
9808,Zlatan,Ibrahimovic,Ibrahimovic,4cde5509
10318,Maarten,Stekelenburg,Stekelenburg,fefce889
10460,Grant,Leadbitter,Leadbitter,516f7fc1
10589,Brian,Murphy,Brian Murphy,47e0ce24
11037,Rickie,Lambert,Lambert,495de82c
11334,Petr,Cech,Cech,71672fa0
11352,Bruno,Saltor Grau,Bruno,78803d03
11467,Billy,Jones,Jones,aa3cb1ad
11554,Julian,Speroni,Speroni,8e65a5e5
11735,Steve,Sidwell,Sidwell,ed083afd
11829,Wayne,Routledge,Routledge,1d387eee
11854,Daryl,Murphy,Murphy,ac99973f
11948,Andy,Lonergan,Lonergan,165cf989
11974,Eldin,Jakupovic,Jakupovic,1148323a
12002,Stewart,Downing,Downing,b13c4620
12086,Boaz,Myhill,Myhill,7ca2d989
12150,Glenn,Whelan,Whelan,d5bd56a5
12390,Allan,McGregor,McGregor,f3a97d02
12413,Robert,Huth,Huth,0bd1ea64
12496,Víctor,Valdés,Valdés,e029e404
12679,Michael,Dawson,Dawson,4771114f
12744,David,Nugent,Nugent,f9b5e5bd
12745,Leighton,Baines,Baines,b18095b6
12813,Jonathan,Walters,Walters,0356cf4f
13017,Wayne,Rooney,Rooney,f07be45a
13152,Andy,King,King,d790907f
14075,Patrice,Evra,Evra,51a3caf1
14295,Darren,Fletcher,Fletcher,184e4970
14664,Gnegneri Yaya,Touré,Yaya Touré,c204f844
14927,Greg,Halford,Halford,06d45e81
14937,Cristiano Ronaldo,dos Santos Aveiro,Ronaldo,dea698d9
15033,Wes,Morgan,Morgan,80c31c97
15109,Tom,Huddlestone,Huddlestone,464cbbc9
15114,Leon,Britton,Britton,b92dd711
15137,Liam,Rosenior,Rosenior,8b0d6fe9
15144,David,Marshall,Marshall,4d93d433
15149,Simon,Francis,Francis,1e0b6a73
15157,James,Milner,Milner,2f90f6b8
15208,Bastian,Schweinsteiger,Schweinsteiger,ccc22fea
15237,Andrew,Surman,Surman,7d41b619
15276,Joey,Barton,Barton,93bfa675
15633,Alex,Baptiste,Baptiste,7b72f0b6
15749,Joe,Hart,Hart,cb4f24c6
15885,Adam,Federici,Federici,e5ea8be7
15944,Michael,Kightly,Kightly,26e5c484
15982,Dean,Marney,Marney,b3379356
16045,Ben,Watson,Watson,df540668
17127,Per,Mertesacker,Mertesacker,5be28712
17336,Gaël,Clichy,Clichy,450ad405
17339,Steven,Davis,Davis,cf15bbb1
17349,Aaron,Lennon,Lennon,2ff964a0
17476,Vincent,Kompany,Kompany,d2bff301
17601,Scott,Carson,Carson,3e1550ee
17740,Jesús,Navas,Navas,3f10bd22
17745,Kasper,Schmeichel,Schmeichel,53af52f3
17761,James,Tarkowski,Tarkowski,15ea812b
17878,Cesc,Fàbregas,Fàbregas,33508c78
17997,Phil,Bardsley,Bardsley,1ae30132
18006,Martin,Cranie,Cranie,9e53837d
18008,James,Morrison,Morrison,21a66e33
18073,Mark,Noble,Noble,ff527768
18155,Mathieu,Flamini,Flamini,148d4105
18440,Leon,Clarke,Clarke,91c975a0
18499,Michael,McGovern,McGovern,51a19d04
18507,Diego,Da Silva Costa,Costa,a190d597
18656,Heurelho da Silva,Gomes,Gomes,d596e193
18665,Alexander,Tettey,Tettey,75566759
18726,Artur,Boruc,Boruc,34ccf6fa
18759,Álvaro,Arbeloa,Arbeloa,6dc73abd
18805,Joe,Ledley,Ledley,c221f149
18832,Richard,Stearman,Stearman,9a3a436e
18867,Billy,Sharp,Sharp,e8c9f4e9
18892,Ashley,Young,Young,be927d03
18987,Robert,Snodgrass,Snodgrass,9f4647e9
19057,Sebastian,Larsson,Larsson,b26efc36
19071,Uwe,Hünemeier,Hünemeier,f42456eb
19101,Dimitrios,Konstantopoulos,Konstantopoulos,05778dfe
19115,Curtis,Davies,Davies,607fb965
19151,Chris,Brunt,Brunt,ec7e6ad1
19159,Ashley,Williams,Williams,a498e276
19188,Scott,Dann,Dann,52105203
19194,David,Martin,Martin,07666c20
19197,Jason,Puncheon,Puncheon,fd3f57ce
19236,John,Ruddy,Ruddy,da8b19e2
19272,Gareth,McAuley,McAuley,ac7d7378
19342,Ikechi,Anya,Anya,c55e973d
19419,Gary,Cahill,Cahill,7914b9fe
19520,Ryan,Babel,Babel,6438d426
19523,Sol,Bamba,Bamba,5534217d
19524,Santiago,Cazorla,Cazorla,e2e9c250
19556,David,Jones,Jones,2f0edbe7
19568,Ibrahim,Afellay,Afellay,9a8c6673
19624,João Filipe Iria,Santos Moutinho,Moutinho,f5a00fa4
19687,Alex,Bruce,Bruce,102ed2b2
19760,Fernando,Llorente,Llorente,82dbf623
19812,Dusan,Kuciak,Kuciak,c78c8c27
19838,Robert,Elliot,Elliot,b1b25949
20037,Marc,Pugh,Pugh,9aacb284
20046,Stefano,Okaka,Okaka,601ef102
20047,Jordan,Rhodes,Rhodes,3b8b641c
20066,Wayne,Hennessey,Hennessey,76eca7e2
20145,Adrian,Mariappa,Mariappa,8aa5f52c
20208,Charlie,Adam,Adam,aff418dc
20310,Willy,Caballero,Caballero,a179d516
20399,Antonio,Barragán,Barragán,487d9b09
20452,Shane,Long,Long,9f472354
20467,Theo,Walcott,Walcott,1ecb65be
20480,Tim,Krul,Krul,f23f9d20
20481,Stephen,Ireland,Ireland,bcf30f17
20487,Vito,Mannone,Mannone,c4173f1a
20529,Glenn,Murray,Murray,f2f29dda
20658,Pablo,Zabaleta,Zabaleta,6813ac34
20664,David,Silva,David Silva,e2716bd0
20669,Shaun,MacDonald,MacDonald,fdcff59c
20695,Antonio,Valencia,Valencia,08aa17d0
21083,Nathan,Dyer,Dyer,6dfd5af0
21123,Valon,Behrami,Behrami,d3d758d8
21205,Tom,Heaton,Heaton,a6de6361
21246,Lewis,Grabban,Grabban,1a857282
26719,Rene,Gilmartin,Gilmartin,f1b7c957
26901,Kevin,Mirallas,Mirallas,aa51343f
26921,Arouna,Koné,Koné,f9a72ca4
27334,Mathieu,Debuchy,Debuchy,92232aad
27335,Stephan,Lichtsteiner,Lichtsteiner,99b1d0e6
27341,Yohan,Cabaye,Cabaye,ad7b19ef
27436,David,McGoldrick,McGoldrick,dbe56a33
27462,Jesús,Gámez Duarte,Gámez,bd1d1cbb
27698,Matthew,Connolly,Connolly,2797fc1d
27707,Darron,Gibson,Gibson,f0e72e1c
27770,Birkir,Bjarnason,Bjarnason,da13074e
27789,Fernando,Luiz Rosa,Fernandinho,101da2b5
28082,Ralf,Fahrmann,Fahrmann,1e43fad8
28147,Mohamed,Diamé,Diamé,b7d082af
28160,Mario,Suárez,Suárez,7106f0a0
28244,George,Boyd,Boyd,0a9048ce
28448,Lee,Cattermole,Cattermole,538e77d5
28462,Sam,Baldock,Baldock,9d597f08
28468,Craig,Gardner,Gardner,1117b9ff
28495,John Obi,Mikel,Mikel,424d5f72
28541,Fraizer,Campbell,Campbell,81d63375
28554,Samir,Nasri,Nasri,165bed61
28593,Victor,Anichebe,Anichebe,4aed5c19
28609,Adam,Legzdins,Legzdins,f5b114ca
28654,Martin,Olsson,Olsson,2f72f79e
28690,Pablo,Hernández Domínguez,Hernández,c0398aca
32259,Darren,Randolph,Randolph,6385ebfb
32318,Marc,Wilson,Marc Wilson,c325c010
33148,Claudio,Bravo,Bravo,10072610
33871,Ragnar,Klavan,Klavan,008a6e6d
34654,Lukas,Jutkiewicz,Jutkiewicz,3943a06f
36903,Gareth,Bale,Bale,a58bb1e1
37002,Rouwen,Hennings,Hennings,17611373
37096,Lukasz,Fabianski,Fabianski,9328b835
37265,Alexis,Sánchez,Sánchez,2c0f8e9e
37339,Ahmed,El Mohamady,El Mohamady,615ef733
37388,Marcin,Wasilewski,Wasilewski,24249219
