code,first_name,second_name,web_name,16-17
48844,David,Ospina,Ospina,1
11334,Petr,Cech,Cech,2
51507,Laurent,Koscielny,Koscielny,3
17127,Per,Mertesacker,Mertesacker,4
158074,Gabriel Armando,de Abreu,Gabriel,5
98745,Héctor,Bellerín,Bellerín,6
42427,Kieran,Gibbs,Gibbs,7
27334,Mathieu,Debuchy,Debuchy,8
80254,Carl,Jenkinson,Jenkinson,9
38411,Nacho,Monreal,Monreal,10
101184,Calum,Chambers,Chambers,11
37265,Alexis,Sánchez,Sánchez,12
20467,Theo,Walcott,Walcott,13
37605,Mesut,Özil,Özil,14
19524,Santiago,Cazorla,Cazorla,15
41792,Aaron,Ramsey,Ramsey,16
54102,Jack,Wilshere,Wilshere,17
81880,Alex,Oxlade-Chamberlain,Chamberlain,18
133798,Serge,Gnabry,Gnabry,19
56864,Francis,Coquelin,Coquelin,20
153133,Alex,Iwobi,Iwobi,21
153256,Mohamed,Elneny,Elneny,22
99127,Joel,Campbell,Campbell,23
84450,Granit,Xhaka,Xhaka,24
44346,Olivier,Giroud,Giroud,25
50175,Danny,Welbeck,Welbeck,26
80711,Yaya,Sanogo,Sanogo,27
154998,Takuma,Asano,Asano,28
18726,Artur,Boruc,Boruc,29
15885,Adam,Federici,Federici,30
15149,Simon,Francis,Francis,31
56917,Steve,Cook,Steve Cook,32
41320,Charlie,Daniels,Daniels,33
54469,Adam,Smith,Smith,34
149484,Tyrone,Mings,Mings,35
126184,Nathan,Aké,Aké,36
48615,Harry,Arter,Arter,37
20037,Marc,Pugh,Pugh,38
15237,Andrew,Surman,Surman,39
80498,Eunan,O'Kane,O'Kane,40
20669,Shaun,MacDonald,MacDonald,41
56872,Junior,Stanislas,Stanislas,42
40387,Dan,Gosling,Gosling,43
59741,Max,Gradel,Gradel,44
122342,Emerson,Hyndman,Hyndman,45
103912,Jordon,Ibe,Ibe,46
155408,Lewis,Cook,Lewis Cook,47
78007,Joshua,King,King,48
75115,Callum,Wilson,Callum Wilson,49
126468,Tokelo,Rantie,Rantie,50
21246,Lewis,Grabban,Grabban,51
88498,Benik,Afobe,Afobe,52
178304,Lys,Mousset,Mousset,53
21205,Tom,Heaton,Heaton,54
68983,Matthew,Lowton,Lowton,55
51927,Ben,Mee,Mee,56
40616,Stephen,Ward,Ward,57
106611,Michael,Keane,Keane,58
17761,James,Tarkowski,Tarkowski,59
85017,Tendayi,Darikwa,Darikwa,60
19556,David,Jones,Jones,61
28244,George,Boyd,Boyd,62
39158,Scott,Arfield,Arfield,63
15982,Dean,Marney,Marney,64
95508,Fredrik,Ulvestad,Ulvestad,65
15944,Michael,Kightly,Kightly,66
40399,Sam,Vokes,Vokes,67
73426,Andre,Gray,Gray,68
34654,Lukas,Jutkiewicz,Jutkiewicz,69
44699,Ashley,Barnes,Barnes,70
37002,Rouwen,Hennings,Hennings,71
153678,Chris,Long,Long,72
60772,Thibaut,Courtois,Courtois,73
40349,Asmir,Begovic,Begovic,74
1718,John,Terry,Terry,75
41135,Branislav,Ivanovic,Ivanovic,76
41328,César,Azpilicueta,Azpilicueta,77
19419,Gary,Cahill,Cahill,78
103192,Kurt,Zouma,Zouma,79
118335,Abdul Rahman,Baba,Baba Rahman,80
163793,Matt,Miazga,Miazga,81
42786,Eden,Hazard,Hazard,82
17878,Cesc,Fàbregas,Fàbregas,83
61262,Oscar,dos Santos Emboaba Junior,Oscar,84
66733,Juan,Cuadrado,Cuadrado,85
47431,Willian,Borges Da Silva,Willian,86
62398,Nemanja,Matic,Matic,87
126187,Ruben,Loftus-Cheek,Loftus-Cheek,88
28495,John Obi,Mikel,Mikel,89
49579,Pedro,Rodríguez Ledesma,Pedro,90
110504,Bertrand,Traore,Traore,91
49013,Victor,Moses,Moses,92
82660,Marco,Van Ginkel,Van Ginkel,93
167767,Robert Kenedy,Nunes do Nascimento,Kenedy,94
116594,N'Golo,Kanté,Kanté,95
94245,Michy,Batshuayi,Batshuayi,96
18507,Diego,Da Silva Costa,Costa,97
38419,Loïc,Remy,Remy,98
11554,Julian,Speroni,Speroni,99
20066,Wayne,Hennessey,Hennessey,100
58376,Alex,McCarthy,McCarthy,101
44413,Steve,Mandanda,Mandanda,102
49413,James,Tomkins,Tomkins,103
19188,Scott,Dann,Dann,104
55494,Joel,Ward,Ward,105
58786,Martin,Kelly,Kelly,106
7906,Damien,Delaney,Delaney,107
79228,Pape,Souaré,Souaré,108
55452,Yannick,Bolasie,Bolasie,109
19197,Jason,Puncheon,Puncheon,110
82403,Wilfried,Zaha,Zaha,111
59115,Mile,Jedinak,Jedinak,112
18805,Joe,Ledley,Ledley,113
50471,James,McArthur,McArthur,114
49438,Jordon,Mutch,Mutch,115
103100,Jonathan,Williams,Williams,116
75773,Chung-yong,Lee,Lee Chung-yong,117
27341,Yohan,Cabaye,Cabaye,118
44343,Bakary,Sako,Sako,119
60252,Andros,Townsend,Townsend,120
28541,Fraizer,Campbell,Campbell,121
59125,Connor,Wickham,Wickham,122
78315,Joel,Robles,Robles,123
10318,Maarten,Stekelenburg,Stekelenburg,124
12745,Leighton,Baines,Baines,125
59949,Seamus,Coleman,Coleman,126
7645,Phil,Jagielka,Jagielka,127
97299,John,Stones,Stones,128
108824,Brendan,Galloway,Galloway,129
149468,Tyias,Browning,Browning,130
114093,Matthew,Pennington,Pennington,131
121221,Ramiro,Funes Mori,Funes Mori,132
26901,Kevin,Mirallas,Mirallas,133
88894,Ross,Barkley,Barkley,134
43250,Tom,Cleverley,Cleverley,135
50472,James,McCarthy,McCarthy,136
1632,Gareth,Barry,Barry,137
27707,Darron,Gibson,Gibson,138
87447,Muhamed,Besic,Besic,139
77762,Bryan,Oviedo,Oviedo,140
94924,Gerard,Deulofeu,Deulofeu,141
17349,Aaron,Lennon,Lennon,142
66749,Romelu,Lukaku,Lukaku,143
26921,Arouna,Koné,Koné,144
113688,Oumar,Niasse,Niasse,145
12390,Allan,McGregor,McGregor,146
11974,Eldin,Jakupovic,Jakupovic,147
171982,Brian,Lenihan,Lenihan,148
19115,Curtis,Davies,Davies,149
12679,Michael,Dawson,Dawson,150
88898,Moses,Odubajo,Odubajo,151
122798,Andrew,Robertson,Robertson,152
95658,Harry,Maguire,Maguire,153
19687,Alex,Bruce,Bruce,154
18987,Robert,Snodgrass,Snodgrass,155
74033,Sam,Clucas,Clucas,156
49944,Jake,Livermore,Livermore,157
37339,Ahmed,Elmohamady,Elmohamady,158
28147,Mohamed,Diamé,Diamé,159
15109,Tom,Huddlestone,Huddlestone,160
53371,David,Meyler,Meyler,161
9110,Shaun,Maloney,Maloney,162
59856,Abel,Hernández,Hernández,163
111847,Adama,Diomande,Diomande,164
17745,Kasper,Schmeichel,Schmeichel,165
51934,Ron-Robert,Zieler,Zieler,166
15033,Wes,Morgan,Morgan,167
37402,Christian,Fuchs,Fuchs,168
86417,Jeffrey,Schlupp,Schlupp,169
37388,Marcin,Wasilewski,Wasilewski,170
46695,Ritchie,de Laet,de Laet,171
40725,Danny,Simpson,Simpson,172
12413,Robert,Huth,Huth,173
41321,Yohan,Benalouane,Benalouane,174
130025,Luis,Hernández,Hernández,175
103025,Riyad,Mahrez,Mahrez,176
51938,Marc,Albrighton,Albrighton,177
13152,Andy,King,King,178
61603,Daniel,Drinkwater,Drinkwater,179
40772,Gökhan,Inler,Inler,180
172632,Demarai,Gray,Gray,181
155569,Daniel,Amartey,Amartey,182
86881,Nampalys,Mendy,Mendy,183
101668,Jamie,Vardy,Vardy,184
54316,Leonardo,Ulloa,Ulloa,185
78412,Shinji,Okazaki,Okazaki,186
90714,Ahmed,Musa,Musa,187
66797,Simon,Mignolet,Mignolet,188
104542,Loris,Karius,Karius,189
40784,Mamadou,Sakho,Sakho,190
38454,Dejan,Lovren,Lovren,191
100059,Alberto,Moreno,Moreno,192
57328,Nathaniel,Clyne,Clyne,193
91979,Jon,Flanagan,Flanagan,194
171287,Joseph,Gomez,Gomez,195
134383,Connor,Randall,Randall,196
120447,Bradley,Smith,Smith,197
106449,Kevin,Stewart,Stewart,198
60914,Joel,Matip,Matip,199
43191,Leiva,Lucas,Lucas,200
56979,Jordan,Henderson,Henderson,201
40555,Joe,Allen,Allen,202
84583,Philippe,Coutinho,Coutinho,203
112338,Emre,Can,Can,204
39155,Adam,Lallana,Lallana,205
99323,Lazar,Markovic,Markovic,206
141921,Oluwaseyi,Ojo,Sheyi Ojo,207
15157,James,Milner,Milner,208
92217,Roberto,Firmino,Firmino,209
147668,Cameron,Brannagan,Brannagan,210
174254,Pedro,Chirivella,Chirivella,211
110979,Sadio,Mané,Mané,212
54861,Christian,Benteke,Christian Benteke,213
40755,Daniel,Sturridge,Sturridge,214
42493,Mario,Balotelli,Balotelli,215
84939,Danny,Ings,Ings,216
152760,Divock,Origi,Origi,217
15749,Joe,Hart,Hart,218
20310,Willy,Caballero,Caballero,219
42593,Aleksandar,Kolarov,Kolarov,220
20658,Pablo,Zabaleta,Zabaleta,221
17476,Vincent,Kompany,Kompany,222
17336,Gaël,Clichy,Clichy,223
37748,Bacary,Sagna,Sagna,224
57112,Eliaquim,Mangala,Mangala,225
57410,Nicolás,Otamendi,Otamendi,226
41823,Fabian,Delph,Delph,227
103955,Raheem,Sterling,Sterling,228
28554,Samir,Nasri,Nasri,229
20664,David,Silva,Silva,230
14664,Gnegneri Yaya,Touré,Yaya Touré,231
17740,Jesús,Navas,Navas,232
27789,Fernando,Luiz Rosa,Fernandinho,233
52538,Fernando Francisco,Reges,Fernando,234
61366,Kevin,De Bruyne,De Bruyne,235
59859,Ilkay,Gündogan,Gündogan,236
86173,Manuel,Agudo Durán,Nolito,237
206325,Oleksandr,Zinchenko,Zinchenko,238
37572,Sergio,Agüero,Agüero,239
57001,Wilfried,Bony,Bony,240
173515,Kelechi,Iheanacho,Iheanacho,241
51940,David,de Gea,de Gea,242
42899,Sergio,Romero,Romero,243
55909,Chris,Smalling,Smalling,244
76359,Phil,Jones,Jones,245
152015,Guillermo,Varela,Varela,246
106760,Luke,Shaw,Shaw,247
58893,Marcos,Rojo,Rojo,248
160817,Patrick,McNair,McNair,249
20695,Antonio,Valencia,Valencia,250
40002,Matteo,Darmian,Darmian,251
171273,Cameron,Borthwick-Jackson,Borthwick-Jackson,252
201084,Timothy,Fosu-Mensah,Fosu-Mensah,253
58877,Daley,Blind,Blind,254
197365,Eric,Bailly,Bailly,255
43670,Juan,Mata,Mata,256
41184,Marouane,Fellaini,Fellaini,257
106824,Memphis,Depay,Depay,258
2404,Michael,Carrick,Carrick,259
18892,Ashley,Young,Young,260
154976,Adnan,Januzaj,Januzaj,261
59846,Ander,Herrera,Herrera,262
156689,Andreas,Pereira,Pereira,263
