code,first_name,second_name,web_name,id
11334,Petr,Cech,Cech,1
80201,Bernd,Leno,Leno,2
51507,Laurent,Koscielny,Koscielny,3
98745,Héctor,Bellerín,Bellerín,4
38411,Nacho,Monreal,Monreal,5
156074,Rob,Holding,Holding,6
69140,Shkodran,Mustafi,Mustafi,7
111457,Sead,Kolasinac,Kolasinac,8
101184,Calum,Chambers,Chambers,9
233963,Konstantinos,Mavropanos,Mavropanos,10
27335,Stephan,Lichtsteiner,Lichtsteiner,11
39476,Sokratis,Papastathopoulos,Sokratis,12
37605,Mesut,Özil,Özil,13
41792,Aaron,Ramsey,Ramsey,14
153133,Alex,Iwobi,Iwobi,15
153256,Mohamed,Elneny,Elneny,16
84450,Granit,Xhaka,Xhaka,17
57249,Henrikh,Mkhitaryan,Mkhitaryan,18
200641,Reiss,Nelson,Nelson,19
154043,Ainsley,Maitland-Niles,Maitland-Niles,20
50175,Danny,Welbeck,Welbeck,21
59966,Alexandre,Lacazette,Lacazette,22
54694,Pierre-Emerick,Aubameyang,Aubameyang,23
40349,Asmir,Begovic,Begovic,24
18726,Artur,Boruc,Boruc,25
15149,Simon,Francis,Francis,26
56917,Steve,Cook,Steve Cook,27
41320,Charlie,Daniels,Daniels,28
54469,Adam,Smith,Adam Smith,29
149484,Tyrone,Mings,Mings,30
126184,Nathan,Aké,Aké,31
222434,Jack,Simpson,Simpson,32
48615,Harry,Arter,Arter,33
20037,Marc,Pugh,Pugh,34
15237,Andrew,Surman,Surman,35
56872,Junior,Stanislas,Stanislas,36
40387,Dan,Gosling,Gosling,37
103912,Jordon,Ibe,Ibe,38
155408,Lewis,Cook,Lewis Cook,39
90105,Ryan,Fraser,Fraser,40
122342,Emerson,Hyndman,Hyndman,41
111317,David,Brooks,Brooks,42
75115,Callum,Wilson,Wilson,43
178304,Lys,Mousset,Mousset,44
78007,Joshua,King,King,45
7958,Jermain,Defoe,Defoe,46
131897,Mathew,Ryan,Ryan,47
83299,Lewis,Dunk,Dunk,48
61933,Shane,Duffy,Duffy,49
11352,Bruno,Saltor Grau,Bruno,50
42748,Gaëtan,Bong,Bong,51
43808,Markus,Suttner,Suttner,52
74375,Ezequiel,Schelotto,Schelotto,53
52484,Leon,Balogun,Balogun,54
83543,Anthony,Knockaert,Knockaert,55
40845,Dale,Stephens,Stephens,56
38490,Beram,Kayal,Kayal,57
109345,Solomon,March,March,58
60307,Pascal,Groß,Groß,59
66242,Davy,Pröpper,Pröpper,60
167473,José Heriberto,Izquierdo Mena,Izquierdo,61
20529,Glenn,Murray,Murray,62
38499,Tomer,Hemed,Hemed,63
28462,Sam,Baldock,Baldock,64
106757,Jürgen,Locadia,Locadia,65
93284,Florin,Andone,Andone,66
21205,Tom,Heaton,Heaton,67
98747,Nick,Pope,Pope,68
68983,Matthew,Lowton,Lowton,69
51927,Ben,Mee,Mee,70
40616,Stephen,Ward,Ward,71
17761,James,Tarkowski,Tarkowski,72
41674,Kevin,Long,Long,73
103914,Charlie,Taylor,Taylor,74
17997,Phil,Bardsley,Bardsley,75
60586,Johann Berg,Gudmundsson,Gudmundsson,76
39847,Steven,Defour,Defour,77
83314,Jeff,Hendrick,Hendrick,78
90517,Robbie,Brady,Brady,79
60551,Ashley,Westwood,Westwood,80
12813,Jonathan,Walters,Walters,81
40145,Jack,Cork,Cork,82
17349,Aaron,Lennon,Lennon,83
40399,Sam,Vokes,Vokes,84
44699,Ashley,Barnes,Barnes,85
92383,Nahki,Wells,Wells,86
60689,Chris,Wood,Wood,87
88734,Neil,Etheridge,Etheridge,88
45220,Alex,Smithies,Smithies,89
49982,Sean,Morrison,Morrison,90
19523,Sol,Bamba,Bamba,91
49382,Bruno,Ecuele Manga,Ecuele Manga,92
27698,Matthew,Connolly,Connolly,93
56981,Joe,Bennett,Bennett,94
38716,Lee,Peltier,Peltier,95
73459,Ashley Darel Jazz,Richards,Jazz Richards,96
14927,Greg,Halford,Halford,97
104073,Joe,Ralls,Ralls,98
