code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,understat,fbref
1243,Robert,Green,Green,,547,,,,,,4390,a350680b
1616,Alexander,Manninger,Manninger,524,,,,,,,277,eb55b1bc
1632,Gareth,Barry,Barry,137,151,,,,,,590,7dbbe367
1718,John,Terry,Terry,75,,,,,,,917,68517cfd
1801,Paul,Robinson,Robinson,472,75,,,,,,1667,3515ba56
1822,Shay,Given,Given,315,,,,,,,889,0db918ff
2404,Michael,Carrick,Carrick,259,276,,,,,,654,ab7263c1
2513,Jamie,Murphy,Murphy,,69,,,,,,6052,6c96b263
3201,Stuart,Taylor,Taylor,597,506,,,,,,,30871c08
3736,John,O'Shea,O'Shea,342,,,,,,,729,7c1f4685
3773,Peter,Crouch,Crouch,336,347,590,,,,,872,73d9bdc7
5288,Gerhard,Tremmel,Tremmel,682,,,,,,,1062,4370cecc
5589,Dean,Whitehead,Whitehead,,178,,,,,,6328,a32204c9
6744,Lee,Grant,Grant,574,329,520,237,604,,,1742,9dab6e3b
7525,Steven,Pienaar,Pienaar,533,,,,,,,924,8056f6e6
7551,Joleon,Lescott,Lescott,635,,,,,,,664,62393d3b
7638,Mark,Hudson,Hudson,,170,,,,,,,e4e3de44
7645,Phil,Jagielka,Jagielka,127,140,158,444,529,,,587,3233eefd
7906,Damien,Delaney,Delaney,107,121,,,,,,511,210d9ecb
7958,Jermain,Defoe,Defoe,355,52,46,,,,,735,f1e8372d
8380,James,Collins,Collins,452,441,,,,,,655,c61f1719
8432,José,Reina,Reina,,,,603,,,,1374,e358587b
9047,Glen,Johnson,Johnson,325,335,,,,,,944,8cceca90
9089,Ben,Foster,Foster,430,421,445,366,,376,,803,d0b3ceb9
9110,Shaun,Maloney,Maloney,162,,,,,,,1692,0558e236
9808,Zlatan,Ibrahimovic,Ibrahimovic,272,523,,,,,,1741,4cde5509
10318,Maarten,Stekelenburg,Stekelenburg,124,137,155,149,,,,846,fefce889
10460,Grant,Leadbitter,Leadbitter,284,,,,,,,5542,516f7fc1
10589,Brian,Murphy,Brian Murphy,,,537,,,,,,47e0ce24
11037,Rickie,Lambert,Lambert,447,,,,,,,816,495de82c
11334,Petr,Cech,Cech,2,2,1,,,,,491,71672fa0
11352,Bruno,Saltor Grau,Bruno,,58,50,,,,,6046,78803d03
11467,Billy,Jones,Jones,343,,,,,,,742,aa3cb1ad
11554,Julian,Speroni,Speroni,99,116,136,,,,,523,8e65a5e5
11735,Steve,Sidwell,Sidwell,,65,,,,,,1007,ed083afd
11829,Wayne,Routledge,Routledge,369,360,,,,,,719,1d387eee
11854,Daryl,Murphy,Murphy,,304,,,,,,,ac99973f
11948,Andy,Lonergan,Lonergan,,,,530,639,571,,,165cf989
11974,Eldin,Jakupovic,Jakupovic,147,473,214,169,,573,,1697,1148323a
12002,Stewart,Downing,Downing,282,,,,,,,1712,b13c4620
12086,Boaz,Myhill,Myhill,429,420,,,,,,820,7ca2d989
12150,Glenn,Whelan,Whelan,329,339,,,,,,862,d5bd56a5
12390,Allan,McGregor,McGregor,146,,,,,,,4409,f3a97d02
12413,Robert,Huth,Huth,173,194,,,,,,747,0bd1ea64
12496,Víctor,Valdés,Valdés,274,,,,,,,1705,e029e404
12679,Michael,Dawson,Dawson,150,,,,,,,1744,4771114f
12744,David,Nugent,Nugent,291,,,,,,,1753,f9b5e5bd
12745,Leighton,Baines,Baines,125,138,156,145,,,,588,b18095b6
12813,Jonathan,Walters,Walters,330,89,81,,,,,863,0356cf4f
13017,Wayne,Rooney,Rooney,269,161,,,,,,629,f07be45a
13152,Andy,King,King,178,201,,480,,,,784,d790907f
14075,Patrice,Evra,Evra,,626,,,,,,1298,51a3caf1
14295,Darren,Fletcher,Fletcher,439,346,,,,,,809,184e4970
14664,Gnegneri Yaya,Touré,Yaya Touré,231,249,,,,,,878,c204f844
14927,Greg,Halford,Halford,,,97,,,,,,06d45e81
14937,Cristiano Ronaldo,dos Santos Aveiro,Ronaldo,,,,,,579,326,2371,dea698d9
15033,Wes,Morgan,Morgan,167,191,215,165,216,,,748,80c31c97
15109,Tom,Huddlestone,Huddlestone,160,,,,,,,1695,464cbbc9
15114,Leon,Britton,Britton,370,361,,,,,,830,b92dd711
15137,Liam,Rosenior,Rosenior,,60,,,,,,4462,8b0d6fe9
15144,David,Marshall,Marshall,554,,,,,,,1684,4d93d433
15149,Simon,Francis,Francis,31,32,26,62,,,,456,1e0b6a73
15157,James,Milner,Milner,208,222,254,200,241,221,274,489,2f90f6b8
15208,Bastian,Schweinsteiger,Schweinsteiger,265,,,,,,,907,ccc22fea
15237,Andrew,Surman,Surman,39,41,35,80,,,,460,7d41b619
15276,Joey,Barton,Barton,626,,,,,,,4430,93bfa675
15633,Alex,Baptiste,Baptiste,522,,,,,,,,7b72f0b6
15749,Joe,Hart,Hart,218,479,490,95,482,352,,609,cb4f24c6
15885,Adam,Federici,Federici,30,31,,,,,,469,e5ea8be7
15944,Michael,Kightly,Kightly,66,,,,,,,1668,26e5c484
15982,Dean,Marney,Marney,64,83,,,,,,1658,b3379356
16045,Ben,Watson,Watson,418,486,,,,,,571,df540668
17127,Per,Mertesacker,Mertesacker,4,5,,,,,,507,5be28712
17336,Gaël,Clichy,Clichy,223,,,,,,,613,450ad405
17339,Steven,Davis,Davis,305,316,337,,,,,883,cf15bbb1
17349,Aaron,Lennon,Lennon,142,153,83,430,,575,,593,2ff964a0
17476,Vincent,Kompany,Kompany,222,244,263,,,,,612,d2bff301
17601,Scott,Carson,Carson,,,,562,608,593,502,8158,3e1550ee
17740,Jesús,Navas,Navas,232,,,,,,,616,3f10bd22
17745,Kasper,Schmeichel,Schmeichel,165,189,213,168,217,200,248,745,53af52f3
17761,James,Tarkowski,Tarkowski,59,79,72,84,81,98,199,1665,15ea812b
17878,Cesc,Fàbregas,Fàbregas,83,105,123,,,,,686,33508c78
17997,Phil,Bardsley,Bardsley,323,334,75,86,82,99,,857,1ae30132
18006,Martin,Cranie,Cranie,,168,,,,,,6344,9e53837d
18008,James,Morrison,Morrison,441,428,,,,,,990,21a66e33
18073,Mark,Noble,Noble,458,450,411,396,427,406,,533,ff527768
18155,Mathieu,Flamini,Flamini,576,,,,,,,895,148d4105
18440,Leon,Clarke,Clarke,,,,547,,,,8061,91c975a0
