code,first_name,second_name,web_name,transfermarkt
1243,Robert,Green,Green,11680
1616,Alexander,Manninger,Manninger,5278
1632,Gareth,Barry,Barry,3291
1718,John,Terry,Terry,3160
1801,Paul,Robinson,Robinson,3630
1822,Shay,Given,Given,3146
2404,Michael,Carrick,Carrick,3878
2513,Jamie,Murphy,Murphy,51730
3201,Stuart,Taylor,Taylor,3190
3736,John,O'Shea,O'Shea,3540
3773,Peter,Crouch,Crouch,4072
5288,Gerhard,Tremmel,Tremmel,488 
5589,Dean,Whitehead,Whitehead,13683
6744,Lee,Grant,Grant,13460
7525,Steven,Pienaar,Pienaar,4321
7551,Joleon,Lescott,Lescott,4241
7638,Mark,Hudson,Hudson,3640
7645,Phil,Jagielka,Jagielka,13520
7906,Damien,Delaney,Delaney,36861
7958,Jermain,Defoe,Defoe,3875
8380,James,Collins,Collins,12691
8432,José,Reina,Reina,7825
9047,Glen,Johnson,Johnson,3881
9089,Ben,Foster,Foster,13572
9110,Shaun,Maloney,Maloney,9508
9808,Zlatan,Ibrahimovic,Ibrahimovic,3455
10318,Maarten,Stekelenburg,Stekelenburg,4311
10460,Grant,Leadbitter,Leadbitter,13796
10589,Brian,Murphy,Brian Murphy,4190
11037,Rickie,Lambert,Lambert,49655
11334,Petr,Cech,Cech,5658
11352,Bruno,Saltor Grau,Bruno,51528
11467,Billy,Jones,Jones,36866
11554,Julian,Speroni,Speroni,12814
11735,Steve,Sidwell,Sidwell,13427
11829,Wayne,Routledge,Routledge,14066
11854,Daryl,Murphy,Murphy,31312
11948,Andy,Lonergan,Lonergan,14044
11974,Eldin,Jakupovic,Jakupovic,2857
12002,Stewart,Downing,Downing,4063
12086,Boaz,Myhill,Myhill,3838
12150,Glenn,Whelan,Whelan,12124
12390,Allan,McGregor,McGregor,9422
12413,Robert,Huth,Huth,2998
12496,Víctor,Valdés,Valdés,7589
12679,Michael,Dawson,Dawson,9988
12744,David,Nugent,Nugent,33963
12745,Leighton,Baines,Baines,13507
12813,Jonathan,Walters,Walters,3306
13017,Wayne,Rooney,Rooney,3332
13152,Andy,King,King,56872
14075,Patrice,Evra,Evra,5285
14295,Darren,Fletcher,Fletcher,3547
14664,Gnegneri Yaya,Touré,Yaya Touré,13091
14927,Greg,Halford,Halford,42062
14937,Cristiano Ronaldo,dos Santos Aveiro,Ronaldo,8198
15033,Wes,Morgan,Morgan,10003
15109,Tom,Huddlestone,Huddlestone,13465
15114,Leon,Britton,Britton,40043
15137,Liam,Rosenior,Rosenior,15166
15144,David,Marshall,Marshall,9500
15149,Simon,Francis,Francis,13573
15157,James,Milner,Milner,3333
15208,Bastian,Schweinsteiger,Schweinsteiger,2514
15237,Andrew,Surman,Surman,29975
15276,Joey,Barton,Barton,3292
