code,first_name,second_name,web_name,understat
1243,Robert,Green,Green,4390.0
1616,Alexander,Manninger,Manninger,277.0
1632,Gareth,Barry,Barry,590.0
1718,John,Terry,Terry,917.0
1801,Paul,Robinson,Robinson,1667.0
1822,Shay,Given,Given,889.0
2404,Michael,Carrick,Carrick,654.0
2513,Jamie,Murphy,Murphy,6052.0
3201,Stuart,Taylor,Taylor,5580.0
3736,John,O'Shea,O'Shea,729.0
3773,Peter,Crouch,Crouch,872.0
5288,Gerhard,Tremmel,Tremmel,1062.0
5589,Dean,Whitehead,Whitehead,6328.0
6744,Lee,Grant,Grant,1742.0
7525,Steven,Pienaar,Pienaar,924.0
7551,Joleon,Lescott,Lescott,664.0
7638,Mark,Hudson,Hudson,
7645,Phil,Jagielka,Jagielka,587.0
7906,Damien,Delaney,Delaney,511.0
7958,Jermain,Defoe,Defoe,735.0
8380,James,Collins,Collins,655.0
8432,José,Reina,Reina,1374.0
9047,Glen,Johnson,Johnson,944.0
9089,Ben,Foster,Foster,803.0
9110,Shaun,Maloney,Maloney,1692.0
9808,Zlatan,Ibrahimovic,Ibrahimovic,1741.0
10318,Maarten,Stekelenburg,Stekelenburg,846.0
10460,Grant,Leadbitter,Leadbitter,5542.0
10589,Brian,Murphy,Brian Murphy,4459.0
11037,Rickie,Lambert,Lambert,816.0
11334,Petr,Cech,Cech,491.0
11352,Bruno,Saltor Grau,Bruno,6046.0
11467,Billy,Jones,Jones,742.0
11554,Julian,Speroni,Speroni,523.0
11735,Steve,Sidwell,Sidwell,1007.0
11829,Wayne,Routledge,Routledge,719.0
11854,Daryl,Murphy,Murphy,
11948,Andy,Lonergan,Lonergan,7821.0
11974,Eldin,Jakupovic,Jakupović,1697.0
12002,Stewart,Downing,Downing,1712.0
12086,Boaz,Myhill,Myhill,820.0
12150,Glenn,Whelan,Whelan,862.0
12390,Allan,McGregor,McGregor,4409.0
12413,Robert,Huth,Huth,747.0
12496,Víctor,Valdés,Valdés,1705.0
12679,Michael,Dawson,Dawson,1744.0
12744,David,Nugent,Nugent,1753.0
12745,Leighton,Baines,Baines,588.0
12813,Jonathan,Walters,Walters,863.0
13017,Wayne,Rooney,Rooney,629.0
13152,Andy,King,King,784.0
14075,Patrice,Evra,Evra,1298.0
14295,Darren,Fletcher,Fletcher,809.0
14664,Gnegneri Yaya,Touré,Yaya Touré,878.0
14927,Greg,Halford,Halford,
14937,Cristiano Ronaldo,dos Santos Aveiro,Ronaldo,2371.0
15033,Wes,Morgan,Morgan,748.0
15109,Tom,Huddlestone,Huddlestone,1695.0
15114,Leon,Britton,Britton,830.0
15137,Liam,Rosenior,Rosenior,4462.0
15144,David,Marshall,Marshall,1684.0
15149,Simon,Francis,Francis,456.0
15157,James,Milner,Milner,489.0
15208,Bastian,Schweinsteiger,Schweinsteiger,907.0
15237,Andrew,Surman,Surman,460.0
15276,Joey,Barton,Barton,4430.0
15633,Alex,Baptiste,Baptiste,1783.0
15749,Joe,Hart,Hart,609.0
15885,Adam,Federici,Federici,469.0
15944,Michael,Kightly,Kightly,1668.0
15982,Dean,Marney,Marney,1658.0
16045,Ben,Watson,Watson,571.0
17127,Per,Mertesacker,Mertesacker,507.0
17336,Gaël,Clichy,Clichy,613.0
17339,Steven,Davis,Davis,883.0
17349,Aaron,Lennon,Lennon,593.0
17476,Vincent,Kompany,Kompany,612.0
17601,Scott,Carson,Carson,8158.0
17740,Jesús,Navas,Navas,616.0
17745,Kasper,Schmeichel,Schmeichel,745.0
17761,James,Tarkowski,Tarkowski,1665.0
17878,Cesc,Fàbregas,Fàbregas,686.0
17997,Phil,Bardsley,Bardsley,857.0
18006,Martin,Cranie,Cranie,6344.0
18008,James,Morrison,Morrison,990.0
18073,Mark,Noble,Noble,533.0
18155,Mathieu,Flamini,Flamini,895.0
18440,Leon,Clarke,Clarke,8061.0
18499,Michael,McGovern,McGovern,8022.0
18507,Diego,Da Silva Costa,Diego Costa,802.0
18656,Heurelho da Silva,Gomes,Gomes,564.0
18665,Alexander,Tettey,Tettey,791.0
18726,Artur,Boruc,Boruc,455.0
18759,Álvaro,Arbeloa,Arbeloa,1704.0
18805,Joe,Ledley,Ledley,517.0
18832,Richard,Stearman,Stearman,7989.0
18867,Billy,Sharp,Sharp,7712.0
18892,Ashley,Young,Young,631.0
18987,Robert,Snodgrass,Snodgrass,1691.0
19057,Sebastian,Larsson,Larsson,740.0
19071,Uwe,Hünemeier,Hünemeier,4258.0
19101,Dimitrios,Konstantopoulos,Konstantopoulos,1767.0
19115,Curtis,Davies,Davies,1686.0
19151,Chris,Brunt,Brunt,904.0
19159,Ashley,Williams,Williams,709.0
19188,Scott,Dann,Dann,512.0
19194,David,Martin,Martin,8082.0
19197,Jason,Puncheon,Puncheon,514.0
19236,John,Ruddy,Ruddy,785.0
19272,Gareth,McAuley,McAuley,806.0
19342,Ikechi,Anya,Anya,577.0
19419,Gary,Cahill,Cahill,699.0
19520,Ryan,Babel,Babel,5176.0
19523,Sol,Bamba,Bamba,4027.0
19524,Santiago,Cazorla,Cazorla,965.0
19556,David,Jones,Jones,1787.0
19568,Ibrahim,Afellay,Afellay,864.0
19624,João Filipe Iria,Santos Moutinho,Moutinho,3422.0
19687,Alex,Bruce,Bruce,4411.0
19760,Fernando,Llorente,Llorente,1728.0
